x,count,prob
557,1,0.001
1571,1,0.001
2588,1,0.001
3883,1,0.001
4080,1,0.001
5146,1,0.001
5888,1,0.001
7207,1,0.001
9993,1,0.001
11384,1,0.001
13326,1,0.001
13855,1,0.001
14000,1,0.001
16305,1,0.001
16419,1,0.001
16547,1,0.001
18089,1,0.001
20888,1,0.001
20967,1,0.001
20973,1,0.001
21930,1,0.001
23037,1,0.001
23393,1,0.001
23411,1,0.001
23483,1,0.001
24212,1,0.001
28489,1,0.001
28709,1,0.001
30505,1,0.001
31423,1,0.001
32617,1,0.001
32797,1,0.001
33508,1,0.001
34133,1,0.001
34214,1,0.001
35340,1,0.001
35983,1,0.001
37947,1,0.001
37954,1,0.001
38924,1,0.001
40361,1,0.001
41861,1,0.001
42362,1,0.001
42823,1,0.001
44833,1,0.001
46195,1,0.001
46742,1,0.001
47064,1,0.001
48249,1,0.001
48352,1,0.001
48446,1,0.001
50789,1,0.001
51272,1,0.001
53576,1,0.001
53816,1,0.001
53873,1,0.001
56000,1,0.001
57131,1,0.001
58675,1,0.001
59181,1,0.001
59911,1,0.001
60502,1,0.001
60706,1,0.001
61259,1,0.001
64137,1,0.001
65085,1,0.001
65275,1,0.001
68188,1,0.001
68214,1,0.001
69242,1,0.001
69543,1,0.001
70125,1,0.001
70382,1,0.001
70986,1,0.001
71396,1,0.001
72898,1,0.001
73764,1,0.001
74841,1,0.001
76611,1,0.001
79585,1,0.001
80455,1,0.001
80584,1,0.001
81496,1,0.001
81548,1,0.001
82360,1,0.001
83161,1,0.001
87116,1,0.001
87200,1,0.001
87295,1,0.001
91264,1,0.001
92206,1,0.001
93010,1,0.001
93892,1,0.001
94763,1,0.001
95479,1,0.001
97562,1,0.001
98184,1,0.001
99627,1,0.001
99953,1,0.001
100491,1,0.001
101269,1,0.001
102522,1,0.001
105120,1,0.001
108858,1,0.001
109298,1,0.001
110083,1,0.001
111265,1,0.001
111320,1,0.001
114304,1,0.001
114319,1,0.001
114558,1,0.001
118657,1,0.001
118731,1,0.001
118917,1,0.001
119345,1,0.001
120134,1,0.001
121178,1,0.001
121536,1,0.001
